id,pssn,pname,pgender,pdob,age,phone,noOfVisits
1,173-01-6440,Corby Janosevic,Male,1961-03-06,59,(883) 5945079,28
2,391-52-3626,Deane Elgar,Male,1963-12-04,56,(853) 8066778,25
3,225-28-3284,Sharona Matkin,Female,2013-11-02,6,(957) 3148124,15
4,279-38-2458,Diego Francescotti,Male,1979-02-10,41,(772) 6731977,22
5,146-17-9160,Vasili Struther,Male,1960-06-28,59,(865) 6224415,29
6,818-43-5291,Sigismond Woollacott,Male,1976-08-23,43,(639) 4324112,21
7,352-88-1319,Adi Cordobes,Female,1971-11-14,48,(887) 2125981,7
8,284-18-1555,Guntar Dine-Hart,Male,1986-07-03,33,(786) 5103129,7
9,851-36-4931,Humphrey Testo,Male,1973-08-27,46,(964) 6922354,2
10,336-66-7511,Susie Paoletto,Female,2005-03-31,15,(515) 5866387,30
11,847-40-3720,Morganica Brito,Female,2015-09-08,4,(208) 1553683,24
12,606-19-3816,Vernor Dikle,Male,1967-11-18,52,(671) 6213008,29
13,265-85-7336,Wallache Verryan,Male,2009-11-28,10,(680) 9228653,11
14,571-68-4365,Kaine Dudek,Male,2014-06-28,5,(653) 9865884,18
15,827-86-0690,Justinn MacAughtrie,Female,2017-03-16,3,(167) 3725154,6
16,513-64-2897,Brandice Sturgis,Female,2013-01-21,7,(880) 5825410,15
17,225-09-1410,Abran Milch,Male,1991-12-11,28,(524) 5602734,7
18,750-60-7317,Hillery Sanches,Male,1965-10-22,54,(209) 7019043,11
19,321-11-0008,Fletcher Crozier,Male,1988-04-20,32,(949) 7144542,25
20,284-37-9489,Eula Passey,Female,1988-02-16,32,(856) 7476937,13
21,342-66-4071,Park Roos,Male,1987-08-21,32,(604) 3973345,21
22,601-38-1070,Mal Scrafton,Male,1995-12-06,24,(717) 5067074,14
23,531-03-7029,Ferdinande Kettridge,Female,1982-12-02,37,(346) 3988266,2
24,447-91-9769,Angelina Dowden,Female,2005-11-04,14,(940) 3428798,21
25,461-28-2529,Brigitte Morison,Female,2019-02-18,1,(859) 6475243,1
26,148-19-6308,Laetitia Castaner,Female,1987-12-21,32,(415) 5036295,20
27,432-96-7960,Charley Ashcroft,Male,1960-02-12,60,(836) 4326169,28
28,343-85-1832,Lynnelle Cocher,Female,1968-10-11,51,(776) 9405386,8
29,558-98-0904,Clarence Remington,Male,2017-03-05,3,(207) 4287355,19
30,495-38-1644,Fedora Edgcombe,Female,1994-10-06,25,(809) 7929023,8
31,241-40-7682,Jordan Barnewall,Female,1999-08-30,20,(152) 2701791,12
32,219-35-1406,Stanfield Bliss,Male,1998-11-16,21,(845) 1578087,26
33,770-35-6249,Georgie Bayford,Male,1961-01-20,59,(242) 5717059,7
34,161-43-6646,Demetri Dudson,Male,2004-01-10,16,(781) 3761705,9
35,734-94-1605,Mikkel Ibbetson,Male,1967-11-01,52,(466) 2997840,2
36,103-52-1183,Tedra Bingell,Female,1987-05-22,32,(675) 3352577,24
37,633-26-2221,Selie Arstingall,Female,2015-12-06,4,(397) 1767599,6
38,664-70-2411,Ravid Blackie,Male,1996-06-26,23,(310) 8710881,19
39,106-94-2516,Rube Percy,Male,2016-08-03,3,(975) 7252959,5
40,429-16-0713,Claudell Melia,Male,1974-08-08,45,(941) 3487669,19
41,426-37-1331,Thorin Crier,Male,1992-04-11,28,(384) 4431132,22
42,858-74-7751,Barbi Measham,Female,2006-04-23,14,(416) 6655593,7
43,592-73-9290,Rogers Rablan,Male,1983-11-30,36,(137) 7951967,19
44,774-40-0348,Maighdiln Grimsdell,Female,2009-03-13,11,(486) 4811324,21
45,129-49-7088,Guillemette Milsted,Female,1986-11-05,33,(658) 8827394,6
46,352-26-1116,Ossie McLese,Male,1979-05-18,40,(750) 4725000,9
47,357-81-1724,Hendrick Thompsett,Male,1967-11-03,52,(607) 6910390,7
48,730-82-9874,Corrinne L' Anglois,Female,2011-08-15,8,(891) 8900404,27
49,286-01-0555,Neala Cast,Female,1986-12-01,33,(312) 4218608,9
50,390-04-5274,Bell Curl,Female,1999-01-26,21,(751) 4240002,18
